OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1107,2020-001BL,2025-10-31T08:00:03.000384,15.68279365,.00045191,53.0072,81.8950,268.5774,291.9876,0,U,44972,999,596,.21513646E-2,.252902E-2,0
STARLINK-1132,2020-006A,2025-10-31T05:03:09.516384,15.06402137,.00013349,53.0545,127.8742,87.1255,272.9887,0,U,45044,999,31722,.50026047E-4,.464E-5,0
STARLINK-1131,2020-006D,2025-10-29T20:37:58.499904,15.06402427,.00015621,53.0540,154.4780,89.9797,270.1371,0,U,45047,999,31673,.62067235E-4,.643E-5,0
STARLINK-1134,2020-006E,2025-10-24T20:56:54.299616,15.26667851,.00122824,53.0401,155.6330,116.8822,243.3433,0,U,45048,999,31628,.63194493E-3,.16521E-3,0
STARLINK-1156,2020-006L,2025-10-30T21:24:02.731392,15.06402271,.00013717,53.0518,149.3065,98.6939,261.4205,0,U,45054,999,31689,-.7044221E-5,-.386E-5,0
STARLINK-1159,2020-006P,2025-10-31T08:00:03.000384,15.24834341,.00011599,53.0570,146.5401,83.9228,116.2022,0,U,45057,999,580,.40901814E-1,.1113827E-1,0
STARLINK-1166,2020-006S,2025-10-29T20:32:34.157760,15.06410360,.00014759,53.0528,153.9563,83.0862,277.0295,0,U,45060,999,31674,.40653131E-3,.5781E-4,0
STARLINK-1169,2020-006T,2025-10-30T23:47:21.010560,15.06396733,.00012063,53.0531,148.8615,87.4821,272.6306,0,U,45061,999,31691,-.14824838E-4,-.502E-5,0
STARLINK-1171,2020-006U,2025-10-31T02:18:32.742720,15.29209309,.00022883,53.0551,146.1506,143.4650,216.6506,0,U,45062,999,31696,.29658726E-2,.8584E-3,0
STARLINK-1133,2020-006W,2025-10-30T12:35:55.353408,15.06401905,.00013745,53.0503,130.9487,90.5529,269.5617,0,U,45064,999,31712,.92510366E-4,.1097E-4,0
STARLINK-1167,2020-006AD,2025-10-31T05:08:27.582432,15.06401074,.00010021,53.0474,127.8579,91.8941,268.2163,0,U,45071,999,31722,.48412189E-4,.44E-5,0
STARLINK-1168,2020-006AE,2025-10-31T05:13:45.850656,15.06437794,.00008779,53.0529,127.8372,136.2280,223.8779,0,U,45072,999,31722,-.63704435E-3,-.9767E-4,0
STARLINK-1172,2020-006AG,2025-10-30T11:58:46.504704,15.06397191,.00013386,53.0524,131.0684,88.5848,271.5294,0,U,45074,999,31711,.75775127E-4,.847E-5,0
STARLINK-1153,2020-006AN,2025-10-31T04:57:51.417504,15.06412996,.00013945,53.0522,127.8894,86.6114,273.5035,0,U,45080,999,31722,.19196124E-3,.258E-4,0
STARLINK-1151,2020-006AP,2025-10-30T12:41:14.893440,15.06386722,.00014009,53.0531,131.0104,89.6346,270.4804,0,U,45081,999,31712,-.34235082E-3,-.5375E-4,0
STARLINK-1190,2020-006AR,2025-10-31T08:00:03.000384,15.90208523,.00032626,53.0392,78.1582,261.1805,81.7410,0,U,45083,999,603,.11676203E-2,.358685E-2,.58860266E-4
STARLINK-1185,2020-006AV,2025-10-30T04:09:01.525248,15.06401781,.00013314,53.0539,112.5284,87.2018,272.9123,0,U,45087,999,31735,.37336438E-4,.275E-5,0
STARLINK-1183,2020-006AW,2025-10-30T20:36:16.562592,15.06397767,.00009806,53.0516,109.4523,89.6332,270.4770,0,U,45088,999,31745,.59584521E-4,.606E-5,0
