OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-10-10T00:44:49.952544,15.06393373,.00013888,53.0510,142.9510,97.2816,262.8331,0,U,44714,999,32604,.10559598E-3,.1291E-4,0
STARLINK-1010,2019-074D,2025-10-09T20:04:00.107904,15.85822566,.00035271,53.0470,82.5805,105.4409,254.7004,0,U,44716,999,32685,.7868501E-3,.200113E-2,0
STARLINK-1011,2019-074E,2025-10-09T14:41:14.150976,15.75231738,.0005725,53.0472,138.9295,134.9328,225.2156,0,U,44717,999,32606,.10774E-2,.167913E-2,0
STARLINK-1012,2019-074F,2025-10-09T22:37:26.483232,15.06393233,.00015667,53.0523,143.3499,87.0897,273.0271,0,U,44718,999,32602,.27672629E-3,.3842E-4,0
STARLINK-1017,2019-074L,2025-10-09T22:58:14.562336,15.12817557,.00049737,53.0505,141.0004,104.3227,255.8317,0,U,44723,999,32606,.1754799E-2,.31022E-3,0
STARLINK-1019,2019-074M,2025-10-09T22:32:07.485792,15.06411185,.0001787,53.0536,143.3677,89.1627,270.9567,0,U,44724,999,32602,-.29408E-3,-.4661E-4,0
STARLINK-1020,2019-074N,2025-10-10T01:51:10.612224,15.06405222,.00013544,53.0531,162.7454,100.6097,259.5045,0,U,44725,999,32576,.16829379E-3,.2226E-4,0
STARLINK-1021,2019-074P,2025-10-09T19:12:36.752832,16.24009164,.0008436,53.0325,73.0416,312.7492,47.2836,0,U,44726,999,32699,.10952172E-2,.3028651E-1,.11939903E-4
STARLINK-1029,2019-074X,2025-10-10T08:39:10.306944,16.07085413,.0004596,53.0488,355.2387,13.4819,346.6335,0,U,44734,999,32811,.86502E-3,.691669E-2,.25397E-3
STARLINK-1031,2019-074Z,2025-10-09T23:50:03.736320,15.42014262,.00096981,53.0522,138.2879,112.1281,248.0754,0,U,44736,999,32611,.20028316E-2,.87447E-3,0
STARLINK-1036,2019-074AE,2025-10-10T00:58:06.475872,15.06389325,.00008947,53.0498,162.9112,82.4639,277.6451,0,U,44741,999,32576,.22191494E-3,.3025E-4,0
STARLINK-1039,2019-074AH,2025-10-09T23:40:59.542464,15.11093759,.00070241,53.0505,181.9465,77.2224,282.9552,0,U,44744,999,32549,.95541661E-3,.15929E-3,0
STARLINK-1042,2019-074AL,2025-10-10T05:02:19.328352,15.41956794,.00033647,53.0466,92.4736,76.3791,283.7588,0,U,44747,999,32679,.50639331E-3,.21541E-3,0
STARLINK-1043,2019-074AM,2025-10-10T00:18:18.373824,15.06401958,.00015292,53.0535,183.0360,89.7208,270.3956,0,U,44748,999,32548,.92747996E-3,.13561E-3,0
STARLINK-1046,2019-074AQ,2025-10-10T03:50:36.195360,15.06412435,.000151,53.0527,182.3738,96.4739,263.6422,0,U,44751,999,32550,.75877823E-3,.11042E-3,0
STARLINK-1047,2019-074AR,2025-10-09T23:47:54.758400,15.28617409,.00053188,53.0692,127.9242,108.7248,251.4329,0,U,44752,999,32626,.35895171E-3,.9788E-4,0
STARLINK-1048,2019-074AS,2025-10-10T01:16:41.396160,15.06392523,.0001029,53.0510,142.8523,113.0521,247.0577,0,U,44753,999,32604,.12181572E-2,.17906E-3,0
